title,skills,salary,company,description,link
"Python/Django Developer (Junior, Middle)","JavaScript,Git,GitLab,Python,Trello,PostgreSQL,React,Знання принципів ООП,Docker,Docker Compose,Django,Django Rest Framework,Unit-тестування,REST,Selenium,Redis,Знання принципів TDD,ORM,Celery,KISS,Продуктивність,SOLID Principles",,AD Media Profit,"Про компанію: AD MEDIA PROFIT —  ми маркетингове агентство, що спеціалізується на наданні рекламних послуг по всьому світу. Наш відділ розробки відіграє ключову роль у створенні переваг для наших клієнтів, розробляючи та підтримуючи унікальні продукти, що допомагають досягти бізнес-цілей.  Ми шукаємо талановитих спеціалістів на позицію  Full Stack розробника  з досвідом від  2-х років , готових до розробки нової функціональності та підтримки і рефакторингу поточного проекту. Запрошуємо досвідчених розробників приєднатися до нашої команди, щоб спільно створити рішення, яке має потенціал змінити уявлення про внутрішнє управління рекламними командами і внести суттєвий вплив у цю сферу. Про проект: CRM-система закритого типу для внутрішнього використання, що включає бекенд і фронтенд компоненти для повного керування даними та взаємодії з ними всередині компанії і оптимізовує внутрішні процеси.  Мета проекту — створення ефективного інструменту для збору, аналізу та використання даних, спрямований на підвищення продуктивності та координації дій між членами команди.  Наш стек: Python  ( Django/DRF) , JavaScript (React) , PostgreSQL, Celery, Redis, Docker/Docker Compose, Git, GitLab, GitKraken, Trello. Вимоги:  Досвід роботи з  Python (Django)  у веб розробці  від 2+ років  Досвід роботи з  Django REST Framework , написання власних  API  та документації;  Вміння писати та оптимізовувати запити  Django ORM — MUST HAVE. .  Відмінні знання:  OOP, SOLID, TDD, DRY, KISS .   Досвід з  PostgreSQL  або з іншими базами даних   Впевнене володіння Docker та Docker Compose.  Досвід роботи з  React  (або інших фронтенд фреймворків) та практичний досвід роботи в комерційних проектах  від 6 місяців.  Професійне володіння  Git , включаючи знання різних стратегій роботи з гілками ( git flow, branching strategies ), а також досвідчені навички управління версіями.  Хороші технічні, аналітичні навички та вирішення проблем.  Добре знання найкращих практик проектування програмного забезпечення та шаблонів проектування.  Рівень англійської Upper-Intermediate (або вище).  Плюсом буде:  Досвід інтеграції з  3rd party API , зокрема  Facebook  і  TikTok .  Розробка інтеграційних, модульних та юніт-тестів, а також написання тестів за допомогою Selenium для автоматизації тестування інтерфейсів.  Досвід роботи  Redis ;  Обовʼязки:  Підтримка та модернізація існуючих проєктів.  Розробка якісного коду згідно із сучасними стандартами (включно  PEP8 ).  Самостійна розробка функціональності та вміння працювати з великим обсягом технічної інформації.  Швидка адаптація до динаміки роботи команди та своєчасне виконання завдань.  Аналіз потреб, проєктування та розробка нових функцій разом з командою.  Підтримка та рефакторинг існуючого коду, поліпшення процесів розробки.  Вміння та бажання ефективно працювати в команді.  Ми пропонуємо:  Конкурентну заробітну плату  Можливість віддаленої роботи  Гнучкий графік та можливість раціонально розпоряджатися робочим часом  Робота в команді кваліфікованих та досвідчених спеціалістів  Можливість професійного зростання та розвитку   Якщо ви впевнені, що відповідаєте вимогам, описаним вище, і хотіли б приєднатися до нашої команди, будь ласка, надсилайте своє резюме. Також треба виконати тестове завдання.",https://www.work.ua/en/jobs/5629804/
"Викладач у дитячу школу програмування (Python, HTML/CSS)","CSS,HTML,Python,Програмування,Креативність,Викладання,Педагогіка,JavaScript",4500–10000 UAH,"Logika, мiжнародна школа програмування для дiтей","Logika  — це найбільша школа програмування та англійської мови для дітей в Україні  logikaschool.com Ми впроваджуємо новітні IT технології в навчання школярів. На наших уроках діти не лише вчаться основам програмування, вони розвивають логіку і вміння думати, а в проектній роботі проявляють креативність та творчі здібності.  Logika  активно розвивається і в зв’язку із розширенням ми в пошуку викладачів! Ми пропонуємо:  Робота у вихідні (субота, неділя).  Заробітна плата: від 250 грн/2 години  Постійне навчання за рахунок компанії від наших професіоналів.  Готові розробки уроків та методичні матеріали.  Зручні локації.  Круте ком’юніті однодумців!  Хто нам потрібен?  Потрібні енергійні та вмотивовані викладачі, які з комп’ютером на «ти» та мають активний підхід до своєї роботи.   Необхідні знання у Python або ж досвід із іншими мовами програмування та бажання вивчати нове.   Знання верстки (HTML/CSS).  Великою перевагою буде вища освіта в області ІТ, або ж педагогіки/психології.  Кандидати з досвідом роботи з дітьми в пріоритеті, але якщо в тебе ще немає досвіду, але є хист і бажання, школа пропонує навчання і підтримку.   Обов`язки:  Проводити заняття із використанням уже готових методичних матеріалів школи Logika;  Створювати та підтримувати дружню робочу атмосферу;  Слідкувати за результатами учнів;  Давати звіти за шаблонами;  Отримувати задоволення від роботи з учнями — майбутнім нашої країни.  Якщо саме ТИ бажаєш власноруч змінювати освіту на краще — чекаємо серед однодумців в  Logika! Не втрачай можливість — хутчіш залишай відгук, або телефонуй: 0979058537 Show phone  Владислав",https://www.work.ua/en/jobs/5186004/
Senior Python Developer,"SQL,Communicability,Docker,Unit testing,Redis,Backend development,Blockchain",300000–320000 UAH,Web3 AI,"As we continue to innovate and expand, we are seeking a Senior Python Developer to join our team. Position Overview: We are seeking a highly skilled and experienced Senior Backend Developer to join our dynamic team in a full-time capacity. This remote position offers a competitive salary range starting from $6,000, with the potential to reach up to $9,000 for a strong match. Key Responsibilities:  Maintain and support our legacy platform by addressing bugs, refactoring code, and enhancing its stability through comprehensive test and typehint coverage.   Transition to designing and developing new features as the platform evolves.  Collaborate with the team to understand requirements and deliver scalable solutions.  Lead development efforts and projects, take ownership and assume accountability  Required qualifications:  5+ years of experience in Python development  Proficiency in Python and FastAPI with a deep understanding of modern asynchronous frameworks.  Extensive experience with SQL, particularly PostgreSQL.  Fluent in English, with excellent communication skills both written and verbal.  Practical knowledge of Docker, Redis  Proven track record of writing and maintaining high-quality unit and integration tests.  Ability to work in a distributed team  Preferred qualifications:  Experience in golang.  Familiarity with  Ray.io  or similar frameworks for distributed computing.  Familiarity with web3 or blockchain environment.",https://www.work.ua/en/jobs/5674106/
Python Developer,"Користувач ОС Linux,JavaScript,PHP,MySQL,Git,Python,PostgreSQL,Docker,Робота в команді,HTTP,REST API,Розробка API",,Ronis Commerce OÜ,"Наша компанія знаходиться в пошуку колеги —  Python-розробника  для участі в цікавих закордонних веб-проектах. Основні  завдання , які виконуватиме розробник у нашій компанії:  розробка веб-додатків для управління інтернет магазинами  інтеграція зі сторонніми сервісами з API  розробка баз даних  написання додатків для аналізу та обробки даних  Основні вимоги до вакансії:  досвід роботи на аналогічній позиції від 1,5 років  досвід участі у розробці навантажених web-проектів  розуміння основних принципів роботи HTTP та RESTful APIs  досвід роботи з MySQL/PostgreSQL, Docker, Git  вміння писати зрозумілий код  вміння розумітися на чужому коді  досвід роботи в командному рядку Linux  англійська, достатня для читання документації  вміння працювати в команді  знання інших технологій та мов (PHP, Javascript) буде плюсом  Зі свого боку ми пропонуємо:  віддалений формат роботи  гідну та своєчасну заробітну плату, що переглядається за результатами роботи  цікавий та масштабний проект  допомогу на всіх етапах нашої співпраці  роботу в компанії, що стабільно розвивається  натхнену команду професіоналів  підтримку компанії у професійному розвитку.  RONIS це:  одна з провідних компаній з розвитку електронної комерції  компанія, що успішно розробила та просуває власний продукт  сильна команда, що активно зростає.",https://www.work.ua/en/jobs/5088702/
Python developer,"CSS,JavaScript,HTML,Python,Responsibility,Django,Teamwork,Flask,Kubernetes,FastAPI,Django Rest Framework,Git,sql",,4bsystems,"Вакансія: Python розробник Ми, компанія «4bsystems», шукаємо в команду талановитого Python розробника з досвідом від 2 років. Основні вимоги до кандидата:  Глибокі знання Python та його фреймворків, таких як Django чи Flask  Досвід розробки веб-додатків та веб-сервісів  Вміння працювати в команді та брати на себе відповідальність за виконання поставлених завдань  Знання базових принципів роботи з базами даних  Буде великим плюсом:  Досвід роботи з front-end технологіями (HTML, CSS, JavaScript)  Знання англійської мови на рівні, що дозволить комунікувати з іноземними колегами та клієнтами  Відкритість до вивчення нових технологій та готовність ділитися своїми знаннями з іншими членами команди  Ми пропонуємо:  Цікаві проекти та можливість професійного зростання  Гнучкий графік роботи та можливість віддаленої роботи  Дружній колектив та підтримку на кожному етапі роботи  Якщо ви готові приєднатися до нашої команди та приносити користь своїми навичками, надсилайте своє резюме. Чекаємо на ваші заявки!",https://www.work.ua/en/jobs/5721697/
"Fullstack Python, React Developer","Відповідальність,Python,FastAPI,React",80000–120000 UAH,Elementica,"ABOUT ELEMENTICA Welcome to Elementica! We are excited to see you on our profile. Elementica is a leading global software development company — expert in delivering web development, mobile application development and IT consulting services of any complexity to clients worldwide. www.elementica.io JOB POSITION We are looking for a talented Fullstack Python/React Developer to join our Development Team. You will be at the core of our talented Web Apps teams and focus on building the most advanced and meaningful apps and workflows on the latest web technologies.  RESPONSIBILITIES AND DUTIES As a fullstack developer, you will work on our next generation applications, a specific project critical to our customer’s needs. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new challenges as we continue to push technology forward. We are Product oriented developers with a growth mindset. We are curious problem solvers and we like to collaborate, communicate, share knowledge and technical ideas and grow together. What you’ll do:  Develop cloud based frontend and backend web applications  Work in all phases of the software development life-cycle (planning, design, implementation, deployment, monitoring and support)  Collaborate and grow in a dynamic environment while working in small, agile and cross functional teams  Use the latest technologies to solve real problems for our customers  Communicate and coordinate with our engineering team in Ukraine.  What we look for in you:  Results-orientation, collaborative, pragmatic and agile mindset  Strong knowledge in working with Javascript, Typescript and Python  Expertise with the cloud (preferably AWS or GCP)  Working proficiency in English (written and verbal)  Continuous independent learning  We are looking for these skills/experience:  Strong knowledge of one or FastAPI  Familiarity with some ORM (Object Relational Mapper) libraries  Strong knowledge of relational (PostgreSQL) and non-relational (MongoDB) databases  Experience with React hooks, CSS-in-JS, Redux, Jest  Understanding of SSR with Next.js  Understanding of common development principles and best practices (SOLID, DRY, YAGNI) and basic understanding of design patterns  Experience working with Docker and Docker Compose  Experience in CI/CD processes is a plus  Experience with web performance optimizations  What we offer:  The opportunity to drive the development of cutting-edge software products  The chance to work on interesting technical challenges such as advanced algorithms, wide integrations or scalable content management  A positive, highly skilled, young team with a focus on quality  Hybrid/remote working possibility / Home-office friendly / Flexible working hours  Pick your own gear: Linux or IOS — whatever works best for you  A lot of room for your own ideas. We always highly encourage you to work on them together with the team.  Outstanding compensation based on experience and 20 days vacation  Sponsored training opportunities with Udemy and English classes  Our job offer Full Stack Python/React Developer sounds interesting? Then we are looking forward to receiving your application!",https://www.work.ua/en/jobs/5017342/
Викладач програмування у дитячу школу (Python),"Python,Комунікабельність,Програмування,Креативність,Робота з дітьми,Бажання вчитися і розвиватися",10000–18000 UAH,"Logika, мiжнародна школа програмування для дiтей","Школа Logika активно розвивається і в зв’язку із розширенням штату фахівців, відбувається пошук викладачів у нашу школу! В нашій школі присутні курси: Комп’ютерна грамотність, Scratch, Геймдизайн, Python, Front-end. ПРО ШКОЛУ: Ми впроваджуємо новітні IT технології в навчання школярів. На наших уроках діти не лише вчаться основам програмування, вони розвивають своє логічне та критичне мислення і вміння думати та аналізувати інформацію, в проєктній роботі проявляти креативність та творчі здібності. Ми пропонуємо:  Робота у будні (вечірній час), у вихідні.   Вчасна виплата заробітної плати.  Постійне навчання за рахунок компанії від наших професіоналів.  Круте ком’юніті однодумців та комплексну базу знань для співробітників!  Мотивацію для викладачів!  Зайнятість: від 6 груп  Заробітна плата: від 450 грн за один урок (в залежності від кількості дітей у групі)  Обов`язки:  Проводити онлайн заняття із використанням вже готових методичних та практичних матеріалів школи Logika;  Створювати та підтримувати дружню робочу атмосферу на заняттях;  Слідкувати за результатами учнів;  Вчасно заповнювати адміністративну звітність;  Проводити відкриті уроки для батьків, та давати зворотній зв’язок про навчання дітей;  Отримувати задоволення від роботи із майбутнім нашої країни;  Хто нам потрібен?:  Потрібні  енергійні  та  вмотивовані  викладачі, які ладнають із комп’ютером на «ти» та мають  активний підхід  до своєї роботи.  Високо розвинені  комунікативні  навички , досвід публічних виступів  Любов до дітей  та  бажання  навчати та навчатись разом із ними!  Знання різних мов програмування  Python,Scratch, Lua, HTML,CSS, JavaScript  та величезне  бажання вивчати  нове).  Великою перевагою буде  вища освіта в області ІТ ,  педагогіки/психології.  Кандидати  з досвідом роботи з дітьми  в пріоритеті.  Якщо у Вас ще немає досвіду, але є хист і бажання, школа пропонує навчання і підтримку. Якщо саме ВИ бажаєте власноруч змінювати освіту на краще — чекаємо на Вас в Logika! Не втрачайте можливість — хутчіш залишайте відгук, або ж телефонуйте/пишіть:  +380 98 089 35 89 Show phone , Олександр",https://www.work.ua/en/jobs/5248983/
"Викладач в всеукраїнську школу програмування (Scratch, Roblox, Front-end, Python)","CSS,JavaScript,HTML,Python,Комунікабельність,Програмування,Креативність,Робота з дітьми,Scratch,Бажання вчитися і розвиватися",10000 UAH,"Logika, мiжнародна школа програмування для дiтей","Опис вакансії  ДЕ МИ ШУКАЄМО КАНДИДАТІВ :  м.Обухів   Ш кола Logika  активно розвивається і в зв’язку із розширенням штату фахівців, відбувається пошук викладачів у нашу школу! В нашій школі присутні курси:  Комп’ютерна грамотність, Scratch, Геймдизайн, Python, Front-end та Графічний дизайн.  ПРО ШКОЛУ:  Ми впроваджуємо новітні IT технології в навчання школярів. На наших уроках діти не лише вчаться основам програмування, вони розвивають своє логічне та критичне мислення і вміння думати та аналізувати інформацію, в проєктній роботі проявляти креативність та творчі здібності. Ми пропонуємо:  Зайнятість від 3−6+ груп  від 400 грн. за одне заняття (в залежності від кількості дітей у групі)   Гнучкий графік, можливість обрати для себе робочі години.  Графік занять узгоджується.  Вчасна виплата заробітної плати.  Постійне навчання за рахунок компанії від наших професіоналів.  Круте ком’юніті однодумців та комплексну базу знань для співробітників!  Мотивацію для викладачів!  Обов`язки:  Проводити офлайн заняття на локації в одному із міст, де розташована школа із використанням вже готових методичних та практичних матеріалів школи Logika;  Створювати та підтримувати дружню робочу атмосферу на заняттях;  Слідкувати за результатами учнів;  Вчасно заповнювати форми та адміністративну звітність;  Проводити відкриті уроки для батьків, та давати зворотній зв’язок про навчання дітей;  Хто нам потрібен?:  Потрібні  енергійні  та  вмотивовані  викладачі, які ладнають із комп’ютером на «ти» та мають  активний підхід  до своєї роботи.  Високо розвинені  комунікативні  навички , досвід публічних виступів  Любов до дітей  та  бажання  навчати та навчатись разом із ними!  Знання різних мов програмування  Python,Scratch, Lua, HTML,CSS, JavaScript  та величезне  бажання вивчати  нове).  Великою перевагою буде  вища освіта в області ІТ ,  педагогіки/психології.  Кандидати  з досвідом роботи з дітьми  в пріоритеті.  Якщо у Вас ще немає досвіду, але є хист і бажання, школа пропонує навчання і підтримку. Якщо саме ВИ бажаєте власноруч змінювати освіту на краще — чекаємо на Вас в Logika! Не втрачайте можливість — хутчіш залишайте відгук, або ж телефонуте/пишіть: ЗАПИС НА СПІВБЕСІДУ : Viber:  +380990314611 Show phone — Андрій Telegram:  https://t.me/DAndy19976 (@DAndy19976)",https://www.work.ua/en/jobs/5726874/
"Senior Software engineer (Node, Python, LLM)","Відповідальність,Ініціативність",,DigitalSuits,"About the project The Netherlands company revolutionizes technical recruitment by putting the needs of both candidates and companies first. They leverage cutting-edge technology and a vast network of over 2,500 technical companies to connect talented individuals with their dream jobs in the machine building, process industry, and industrial automation sectors. In this role as an AI Process Automation Engineer, you’ll play a pivotal role in not only shaping the future of work but also propelling the company to the forefront of the recruitment industry. Requirements  Proven experience in software development with proficiency in Python (2+ years)  Experience with Node.js (5+ years)  2+ years of experience with Large Language Models (LLMs) and AI development  Proficiency in prompt engineering to guide LLM outputs  Experience with cloud platforms like GCP or AWS  Experience with containerization technologies like Docker and Kubernetes  Experience with microservices architecture  Experience with building RESTful APIs  Experience with database technologies, including SQL and NoSQL  Experience with message brokers  Team lead experience  Experience with React.js  Experience with BigQuery  Upper-Intermediate level of Spoken English or higher  Responsibilities  Design, develop, and integrate LLM functionalities into our recruitment automation systems, utilizing vectorization techniques for efficient data processing and retrieval  Craft effective prompts to optimize LLM performance in various recruitment tasks (e.g., candidate screening, skills extraction, job description generation) -[check] Utilize Node.js and Python to build robust and scalable back-end for your AI solutions  Craft user-friendly interfaces using React.js to interact seamlessly with the LLM models  Collaborate closely with product owners and recruiters to understand process needs and translate them into actionable technical requirements  Monitor, evaluate, and optimize your LLM-powered solutions to ensure peak performance  Stay up-to-date on the latest advancements in LLM technology and its applications within the recruitment landscape  Manage the development team and communicate directly to the business owner  Will be a plus  Experience with orchestration services like Apache Airflow, Orkes, or AWS Step Functions  Bachelor’s or Master’s degree in Computer Science, Artificial Intelligence, or a related field  What we offer   Interesting and challenging tasks  Opportunity for growth and professional development  Competitive salary  Support in self-education and initiatives aimed at professional development (annual training budget)  Fully paid English classes (twice per week)  Flexible working hours  Performance review every six months  18 working days of vacation, paid sick leaves  Possibility to work remotely",https://www.work.ua/en/jobs/5733693/
Junior Python Developer (Trainee),"CSS,JavaScript,HTML,SQL,Git,Python,Знання принципів ООП,Docker,Django,Unit-тестування,REST API,Програмування,Jenkins,Flask,pandas,NumPy,CI/CD,Комунікабельність",,"Є Підтримка, АФК, ГО","Компанія E-Support шукає мотивованого та здібного Trainee/Junior Python Developer, який бажає розвиватися у професійному середовищі. Ідеальний кандидат повинен мати фундаментальні знання Python та бути готовим до інтенсивного навчання. Основні обов’язки:  Розробка та тестування коду на Python під керівництвом досвідчених розробників.  Участь у розробці та підтримці програмних продуктів компанії.  Виправлення помилок, рефакторинг та оптимізація існуючого коду.  Допомога в написанні технічної документації.  Участь у командних зустрічах, код-рев'ю та брейнштормах.  Вимоги:    Знання Python : Фундаментальні знання мови програмування Python та її стандартної бібліотеки.  Об'єктно-орієнтоване програмування (ООП) : Розуміння основних принципів ООП.  Системи контролю версій : Досвід роботи з Git.  Бази даних : Знання SQL та основ роботи з реляційними базами даних.  Аналіз даних : Базові знання в роботі з бібліотеками для аналізу даних (наприклад, Pandas, NumPy).  Комунікаційні навички : Здатність ефективно працювати в команді, чітко виражати свої думки та ідеї.  Бажані навички:  Веб-фреймворки : Досвід роботи з Django або Flask.  Веб-технології : Знання HTML, CSS, JavaScript.  API : Розуміння принципів роботи з RESTful API.  Тестування : Досвід написання юніт-тестів та інтеграційних тестів.  DevOps : Базові знання інструментів CI/CD (наприклад, Jenkins, Docker).  Ми пропонуємо:  Заробітна плата : Конкурентний рівень оплати праці.  Графік роботи : Гнучкий графік роботи.  Навчання та розвиток : Можливість професійного розвитку, навчання та тренінги за рахунок компанії.  Командна підтримка : Дружня атмосфера та підтримка з боку команди.  Перспективи кар'єрного росту : Можливість зростання до позиції Middle/Senior Developer. Переконливе прохання — надсилайте свій відгук заповнивши коротку форму за  посиланням . Це захист від тих, хто клепає відгуки за допомогою ChatGpt :)",https://www.work.ua/en/jobs/5727804/
